participant,baseline,adapting,task,trial,temperature,accuracy,active_interval,active_zone,rt,repetition,baseline_flag,target_flag,deviation_flag,recorded_temperature
3,32,30,0,22,0.4,1,2,2,0.285306500038132,0,0,0,0,29.6
3,32,30,0,23,0.4,1,1,1,0.320721599971876,0,0,0,0,29.6
3,32,30,0,24,0.4,1,1,2,0.901538900099695,0,0,0,0,29.6
3,32,30,0,25,0.4,1,1,1,0.448805699823424,0,0,0,0,29.6
3,32,30,0,26,0.4,1,2,2,0.362085700035095,0,0,0,0,29.6
3,32,30,0,27,0.4,1,2,1,0.344560500001535,0,0,0,0,29.6
3,32,30,0,28,0.4,1,1,2,0.552590999985114,0,0,0,0,29.6
3,32,30,0,29,0.2,0,2,1,2.53768800012767,0,0,0,0,29.8
3,32,30,0,30,0.4,1,1,2,0.416714400053024,0,0,0,0,29.6
3,32,31,0,1,1.8,1,1,1,0.598931399872527,0,0,0,0,29.2
3,32,31,0,2,1.6,1,1,2,0.413306199945509,0,0,0,0,29.4
3,32,31,0,3,1.2,1,1,1,0.518913100007921,0,0,0,0,29.8
3,32,31,0,4,1,1,2,2,0.42071699979715,0,0,0,0,29.9880434782609
3,32,31,0,5,0.8,1,2,1,0.48039080016315,0,0,0,0,30.2
3,32,31,0,6,0.6,1,2,2,0.82580230012536,0,0,0,0,30.4
3,32,31,0,7,0.4,1,2,1,0.60393250011839,0,0,0,0,30.6
3,32,31,0,8,0.4,1,2,2,0.604146100115031,0,0,0,0,30.6
3,32,31,0,9,0.4,1,1,1,0.344448899850249,0,0,0,0,30.6
3,32,31,0,10,0.2,1,1,2,0.446885299868882,0,0,0,0,30.8
3,32,31,0,11,0.2,0,2,1,0.420092700049281,0,0,0,0,30.8
3,32,31,0,12,0.4,1,1,2,0.412724999943748,0,0,0,0,30.6
3,32,31,0,13,0.4,1,1,1,0.424189199926332,0,0,0,0,30.6
3,32,31,0,14,0.4,1,1,2,0.456195400096476,0,0,0,0,30.6
3,32,31,0,15,0.4,1,2,1,0.656924100127071,0,0,0,0,30.6
3,32,31,0,16,0.4,1,2,2,0.438918000087142,0,0,0,0,30.6
3,32,31,0,17,0.4,1,2,1,0.202302200021222,0,0,0,0,30.6
3,32,31,0,18,0.4,1,1,2,0.343614199897274,0,0,0,0,30.6
3,32,31,0,19,0.4,1,2,1,0.304596500005573,0,0,0,0,30.6
3,32,31,0,20,0.4,1,1,2,0.382497099926695,0,0,0,0,30.6
3,32,31,0,21,0.4,1,2,1,0.384714500047266,0,0,0,0,30.6
3,32,31,0,22,0.4,1,1,2,0.399484700057656,0,0,0,0,30.6
3,32,31,0,23,0.2,1,1,1,0.500459600007161,0,0,0,0,30.8
3,32,31,0,24,0.2,1,2,2,0.687883999897167,0,0,0,0,30.8
3,32,31,0,25,0.2,1,1,1,0.580337299965322,0,0,0,0,30.8
3,32,31,0,26,0.2,1,2,2,0.655072000110522,0,0,0,0,30.8
3,32,31,0,27,0.2,1,1,1,0.490195299964398,0,0,0,0,30.8
3,32,31,0,28,0.2,1,2,2,0.314007299952209,0,0,0,0,30.8
3,32,31,0,29,0.2,0,2,1,0.579056199872866,0,0,0,0,30.8
3,32,31,0,30,0.4,1,1,2,0.449904500041157,0,0,0,0,30.6
3,32,34,0,1,1.8,1,1,1,1.30575790000148,0,0,0,0,32.2
3,32,34,0,2,1.6,1,2,2,1.5588732000906,0,0,0,0,32.4
3,32,34,0,3,1.2,1,2,1,0.48041189997457,0,1,0,0,32.8
3,32,34,0,4,1,1,1,2,0.592900299932808,0,1,0,0,33
3,32,34,0,5,0.8,1,1,1,0.505637800088152,0,0,0,0,33.2
3,32,34,0,6,0.6,1,2,2,0.800837300019339,0,0,0,0,33.4
3,32,34,0,7,0.4,0,2,1,2.25389320007525,0,0,0,0,33.6
3,32,34,0,8,0.8,1,1,2,0.435427400050685,0,0,0,0,33.2
3,32,34,0,9,0.8,1,2,1,0.322146999882534,0,0,0,0,33.2
3,32,34,0,10,0.8,1,2,2,1.82291609980166,0,0,0,0,33.2
3,32,34,0,11,0.6,1,1,1,0.500613899901509,0,0,0,0,33.4
3,32,34,0,12,0.6,1,1,2,0.422960199881345,0,0,0,0,33.4
3,32,34,0,13,0.6,1,1,1,0.442848099861294,0,0,0,0,33.4
3,32,34,0,14,0.6,1,2,2,0.845273999962956,0,0,0,0,33.4
3,32,34,0,15,0.6,1,2,1,0.633537200046703,0,0,0,0,33.4
3,32,34,0,16,0.6,1,2,2,0.88939610007219,0,0,0,0,33.4
3,32,34,0,17,0.6,1,1,1,1.88535720016807,0,0,0,0,33.4
3,32,34,0,18,0.6,1,1,2,0.566690200008452,0,0,0,0,33.4
3,32,34,0,19,0.6,1,2,1,0.623205099953339,0,0,0,0,33.4
3,32,34,0,20,0.2,0,1,2,0.718156900024042,0,0,0,0,33.8
3,32,34,0,21,0.6,1,2,1,0.540361399995163,0,0,0,0,33.4
3,32,34,0,22,0.6,1,2,2,2.46274450002238,0,0,0,0,33.4
3,32,34,0,23,0.6,1,1,1,0.711702600121498,0,0,0,0,33.4
3,32,34,0,24,0.6,1,1,2,0.561901699984446,0,0,0,0,33.4
3,32,34,0,25,0.6,1,1,1,0.871722399955615,0,0,0,0,33.4
3,32,34,0,26,0.6,1,2,2,0.655463499948382,0,0,0,0,33.4
3,32,34,0,27,0.6,1,2,1,0.484448499977589,0,0,0,0,33.4
